fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
CZE,A,HIST_STD,FS,C,346358,2022-12-31,6211,10589.4220,,449.1620,819.4070,1562.3390
CZE,A,HIST_STD,FS,C,346358,2023-12-31,6211,14979.6030,,626.9670,582.9930,2873.6610
CZE,A,HIST_STD,FS,C,346358,2024-12-31,6211,3892.4310,,666.3710,483.2170,1892.2630
CZE,A,HIST_STD,INDL,C,353169,2023-12-31,9995,606.8080,,7.5630,1068.4980,103.6140
CZE,A,HIST_STD,INDL,C,353169,2024-12-31,9995,688.1130,4.4020,71.3770,1428.3550,141.9580
CZE,I,HIST_STD,INDL,C,353782,2021-12-31,5812,417.4510,,-96.2070,144.8010,89.6400
CZE,A,HIST_STD,INDL,C,354429,2018-12-31,5960,78.1710,,19.2400,184.4850,54.4080
CZE,A,HIST_STD,INDL,C,354429,2020-12-31,5960,110.5820,,25.1260,348.8090,81.2970
CZE,A,HIST_STD,INDL,C,354429,2022-12-31,5960,266.8340,9.2380,31.3430,511.8710,169.4720
CZE,A,HIST_STD,INDL,C,354429,2023-12-31,5960,935.0070,,35.9850,639.5130,199.8350
CZE,A,HIST_STD,INDL,C,354429,2024-12-31,5960,767.1360,9.4390,39.8050,942.5370,417.9330
CZE,A,HIST_STD,INDL,C,354700,2018-12-31,3570,8.0440,,0.5430,8.1560,1.2620
CZE,A,HIST_STD,INDL,C,354700,2019-12-31,3570,19.1100,,1.5300,16.4850,1.3700
CZE,A,HIST_STD,INDL,C,354700,2020-12-31,3570,21.6460,,5.9590,19.9710,8.9590
CZE,A,HIST_STD,INDL,C,354700,2021-12-31,3570,42.8260,,4.2540,17.6240,11.9360
CZE,A,HIST_STD,INDL,C,354700,2022-12-31,3570,89.1950,,2.5290,30.7640,69.8890
CZE,A,HIST_STD,INDL,C,354700,2023-12-31,3570,71.6900,,-6.3100,29.0460,55.0790
CZE,A,HIST_STD,INDL,C,354700,2024-12-31,3570,66.7370,,0.5950,42.6200,56.1830
CZE,A,HIST_STD,INDL,C,357940,2018-12-31,2531,103.8100,,16.6720,284.6080,42.0260
CZE,A,HIST_STD,INDL,C,357940,2019-12-31,2531,118.4290,,27.1670,332.2310,62.2660
CZE,A,HIST_STD,INDL,C,357940,2020-12-31,2531,124.1620,7.3630,34.0410,289.0970,87.5310
CZE,A,HIST_STD,INDL,C,357940,2021-12-31,2531,419.4480,53.1830,42.7010,824.9180,152.0790
CZE,A,HIST_STD,INDL,C,357940,2022-12-31,2531,667.3180,35.8170,50.0370,1161.0890,178.9010
CZE,A,HIST_STD,INDL,C,357940,2023-12-31,2531,832.4700,114.8160,139.2380,1189.4430,439.9940
CZE,A,HIST_STD,INDL,C,357940,2024-12-31,2531,774.5180,39.7720,35.6080,1079.1370,437.7050
CZE,A,HIST_STD,INDL,C,365808,2021-12-31,3510,8978.3790,26.9200,274.4230,3520.5330,7212.5060
CZE,A,HIST_STD,INDL,C,365808,2022-12-31,3510,9504.8790,27.6990,474.4450,4060.9400,7592.0260
CZE,A,HIST_STD,INDL,C,365808,2023-12-31,3510,8875.4180,41.6990,471.6010,4787.9170,5927.9730
CZE,A,HIST_STD,INDL,C,365808,2024-12-31,3510,7128.7840,54.8690,560.6940,5891.1110,4199.7640
CZE,A,HIST_STD,INDL,C,367321,2021-12-31,7340,964.2680,16.9220,144.0730,2911.9650,427.4590
CZE,A,HIST_STD,INDL,C,367321,2022-12-31,7340,1037.6940,34.5230,80.6690,3174.1770,468.6600
CZE,A,HIST_STD,INDL,C,367321,2023-12-31,7340,1155.0890,19.5080,50.1490,3695.7410,486.5870
CZE,A,HIST_STD,INDL,C,367321,2024-12-31,7340,1318.4310,86.1690,141.1870,4489.0270,564.0610
