fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
ROU,A,HIST_STD,INDL,C,283655,2018-12-31,4923,4995.8070,252.4950,487.1340,2144.0210,3712.7310
ROU,A,HIST_STD,INDL,C,283655,2019-12-31,4923,5769.1680,907.6750,335.7280,2713.3390,3781.9400
ROU,A,HIST_STD,INDL,C,283655,2020-12-31,4923,7221.6490,1499.1190,141.1390,3051.4750,3746.2690
ROU,A,HIST_STD,INDL,C,283655,2021-12-31,4923,8006.1460,47.3050,106.1130,2382.6820,3968.3680
ROU,A,HIST_STD,INDL,C,283655,2022-12-31,4923,8257.1410,18.8010,121.5880,2735.3840,4140.9080
ROU,A,HIST_STD,INDL,C,283655,2023-12-31,4923,8758.3240,5.0880,112.4170,2265.1550,4202.7880
ROU,A,HIST_STD,INDL,C,283655,2024-12-31,4923,10769.3560,21.6810,358.6760,4276.3160,4389.5520
ROU,I,HIST_STD,INDL,C,288485,2018-12-31,1381,99.6950,1.2400,-3.5640,112.9240,-23.5090
ROU,I,HIST_STD,INDL,C,288485,2019-12-31,1381,98.8300,1.9110,5.6460,99.4980,-19.6840
ROU,I,HIST_STD,INDL,C,288485,2020-12-31,1381,77.3480,0.3130,-11.5830,38.6700,-33.1770
ROU,I,HIST_STD,INDL,C,288485,2021-12-31,1381,84.8720,,-5.9620,83.5890,-36.6820
ROU,I,HIST_STD,INDL,C,288485,2022-12-31,1381,61.9810,2.5070,-13.5460,11.9090,-38.9770
ROU,I,HIST_STD,INDL,C,288485,2023-12-31,1381,57.6840,,-1.0500,20.2240,-40.3450
ROU,I,HIST_STD,INDL,C,288582,2018-12-31,3250,198.9750,14.1680,22.6470,102.5610,126.1530
ROU,I,HIST_STD,INDL,C,288582,2019-12-31,3250,249.3620,12.7610,26.1270,143.0120,161.8230
ROU,I,HIST_STD,INDL,C,288582,2020-12-31,3250,262.9400,17.7410,25.4890,125.2160,183.4090
ROU,I,HIST_STD,INDL,C,288582,2021-12-31,3250,311.2560,12.7650,57.7090,176.0090,237.5950
ROU,I,HIST_STD,INDL,C,288582,2022-12-31,3250,454.6490,70.5570,74.0730,221.4350,373.9960
ROU,I,HIST_STD,INDL,C,288582,2023-12-31,3250,608.2760,59.2900,18.1020,185.4340,403.7460
ROU,A,HIST_STD,INDL,C,288584,2018-12-31,1623,57.4490,,-9.2610,3.3660,-11.8730
ROU,A,HIST_STD,INDL,C,288584,2019-12-31,1623,57.3190,,-0.4980,7.1130,-11.4640
ROU,A,HIST_STD,INDL,C,288584,2020-12-31,1623,51.6950,,-4.4330,4.1870,-12.0740
ROU,A,HIST_STD,INDL,C,288584,2021-12-31,1623,53.6560,0.2700,,2.0190,-0.1090
ROU,A,HIST_STD,INDL,C,288584,2022-12-31,1623,43.0120,,-5.0620,0.9390,-1.2160
ROU,A,HIST_STD,INDL,C,288584,2023-12-31,1623,34.2930,1.3180,-2.4880,0.4730,-3.9280
ROU,A,HIST_STD,INDL,C,288584,2024-12-31,1623,17.9260,2.4970,,0.2090,-0.3330
ROU,A,HIST_STD,INDL,C,289385,2018-12-31,3357,84.3920,,5.0300,108.9860,67.0940
ROU,A,HIST_STD,INDL,C,289385,2019-12-31,3357,79.6310,,3.4420,105.1500,66.0350
ROU,A,HIST_STD,INDL,C,289385,2020-12-31,3357,79.0980,3.4390,1.3370,102.0240,64.2370
ROU,A,HIST_STD,INDL,C,289385,2021-12-31,3357,119.7330,,5.0300,149.7930,87.2460
ROU,A,HIST_STD,INDL,C,289385,2022-12-31,3357,165.7710,4.6880,24.0110,182.2420,131.7660
ROU,A,HIST_STD,INDL,C,289385,2023-12-31,3357,164.1600,7.9520,19.0400,191.7210,148.7420
